brute-force, main-lorentz, crochemore-FSX10
0.00385201, 0.0206291, 0.00541608
0.00348956, 0.0427082, 0.0045046
0.0614527, 0.145468, 0.0363465
0.250747, 0.326732, 0.0684983
1.54491, 0.896496, 0.218961
6.42807, 1.95525, 0.507013
18.2667, 3.04184, 0.812724
26.2514, 4.15003, 1.10957
75.2329, 6.45499, 1.75098
106.766, 9.54882, 2.44747
